,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
53369,39.381426114944,18.862291582029,35.527768610702,-0.44798423860605,35.357706792864,5.5,0.036512908469614,True
182009,26.649802756965,23.902034111714,25.03560167401,-0.13896006199417,13.677997685791,5.5,0.026516745793125,False
95707,38.088840111415,19.150484506791,37.676668169205,-0.42919395731642,33.888960765169,5.5,0.043122905626934,True
449346,38.118073000007,17.925782028265,37.875329180111,-0.4127045639893,33.750389688142,5.5,-0.017075851065453,True
292414,38.412098688161,16.631370364999,30.774216807478,-0.4426702769765,34.340077297481,5.5,-0.0027223721171574,True
38215,49.776800553616,22.076942333494,23.693891437992,-0.91830399359208,47.813874497054,5.5,0.077291623785404,False
25925,38.333063645074,16.146603013408,33.834127020767,-0.44573860298083,34.289072784035,5.5,0.031735937508713,True
340630,40.031301908105,15.837696007335,44.779172306241,-0.40019634286243,35.527105732863,5.5,0.057333706638352,True
364434,,15.685709458857,35.054909316315,-0.49923472184658,46.789285967771,5.5,0.085738057575644,False
107275,49.086742299171,20.537319391691,37.154088057722,-1.4025187475445,51.872366806829,0.5,0.043466394674185,False
125921,,17.432639889589,17.702383669842,-0.01,34.019268329799,4.592779808555,0.014112930640847,False
438392,17.055430632172,14.073751981021,15.861824921957,-0.22930456621756,34.093427999838,0.5,0.052772704837731,False
154220,37.90840557969,22.370264800105,50.692632936602,-0.41923368083758,33.608744270833,5.5,0.045774363043264,True
15141,11.536445236894,21.677045233554,22.731129572398,-0.01,38.035005600802,1.7565922747196,0.056162470358458,False
124156,38.991561435485,25.051722026497,45.19821147067,-0.41896675667618,34.689160807886,5.5,0.088566498660461,True
336222,,16.884469108645,18.572418985402,-0.08673773040699,19.805183563114,5.5,-0.016368889769632,False
259422,19.709232168555,21.663291126079,23.460998865796,-0.31652503665308,32.052301888789,0.5,0.03110262780311,False
214033,,16.773079527161,18.194547821135,-0.01,36.058561241695,2.5696594991563,0.073668491264159,False
