,cq,baseline,plateau,slope,inflection,asymmetry,drift
238396,38.753616304122,18.957596164006,40.446123933844,-0.40982633491216,34.355258552776,5.5,0.073011415427234
132238,39.297150860682,17.001012958134,34.301219001069,-0.4206986785759,35.012462249421,5.5,0.1224092809952
25159,39.36806728917,20.501492644431,41.99945600654,-0.38841048104481,34.727196548458,5.5,0.036705761835636
288744,39.46547537537,23.126273767832,47.378561736184,-0.45377676022735,35.49311937379,5.5,0.092746890736835
354939,,15.99026220906,73.963036859053,-0.34394004169972,48.332088868196,5.5,0.043384442273536
272450,38.408870475606,21.554323833229,46.28072120478,-0.44332118849125,34.342827877909,5.5,0.01927811973425
276811,,12.675065418286,24.151980889721,-0.055165177246332,0.0,0.5,0.084379689236287
214004,,21.279740775528,22.068470952953,-0.01,60.0,5.5,0.028822950564413
95709,49.004108029936,17.158075205829,25.56917826148,-0.94051812395741,50.483633709824,1.0767716001424,0.048734529743187
267965,38.714563701698,17.462863227072,34.103501004709,-0.41982582783259,34.420966887579,5.5,0.060859146382901
55038,39.966225903036,19.281390475815,39.594388533061,-0.41510945813228,35.623846317235,5.5,0.10128247649751
55036,40.527351912619,24.608903538426,44.417512169956,-0.42538920959872,36.28990818769,5.5,0.091890405482356
26448,39.491027792861,20.219425210786,38.584418484529,-0.41155884907486,35.111185539637,5.5,0.049171518753247
15107,22.874178594214,21.445044745928,22.434226450614,-0.15788335582066,14.922006398826,3.9626259774058,0.034418572423418
243068,38.462523060455,18.056599816067,34.94020220295,-0.43618391935677,34.329947885458,5.5,0.049493285014669
322395,38.334146007747,18.379639195983,39.405024415908,-0.37971488092239,33.586997746167,5.5,0.0086182748942357
95346,39.672158700557,23.461225993677,49.102683291751,-0.44766150159353,35.645538518901,5.5,0.094133965148439
38266,38.219143761172,22.119654463437,43.937619221572,-0.41821658997181,33.909025798162,5.5,0.038808293234452
26257,39.172629401906,17.426599533239,34.669699074758,-0.41990459265181,34.879837971636,5.5,0.044216070397434
19946,38.412792550796,18.993732645922,42.965284262834,-0.41267532139059,34.044799740388,5.5,0.065526933947595
340804,21.900897473461,15.243146946339,16.665021558455,-0.18930767161932,12.379028542066,5.5,0.052427938510518
163827,,15.883684576544,16.770707554763,-0.39371431057071,20.005494397727,0.5,0.0057095281232782
149832,18.20428499893,23.010651689169,27.480917929992,-0.13344947426239,4.6968294856737,5.5,0.026169654327655
276865,39.525119000286,17.275181603326,35.71770418948,-0.42498453746779,35.283640362953,5.5,0.032883534310405
243019,,23.381506875437,24.105924279705,-0.35687226184801,52.298727065905,0.5,-0.013633133969075
25909,0.1796326898092,16.239458752816,16.718874708575,-0.01,38.290821187191,1.6623664707516,0.028900968697667
96807,42.402213129728,23.983226062665,43.449516639638,-0.49777194066444,38.780950680783,5.5,0.018698303370747
14726,38.670836345704,11.885578284209,26.926569291878,-0.40416332034264,34.210850131867,5.5,0.047419683075197
217405,49.576197763604,24.148727224077,31.423253831648,-0.83118618699459,47.407534634847,5.5,0.050762081401506
201048,37.587664079538,21.051840463521,42.355424212041,-0.45067236775786,33.587945068952,5.5,0.057286784581917
272105,38.553087590996,21.007589252352,46.794350304046,-0.38922636663646,33.921944915735,5.5,0.010529936803104
15122,24.355958255255,22.148880383798,24.057369013702,-0.17603809551041,14.116340338233,5.5,0.027255936723095
177657,,24.150113756898,25.331367709198,-0.01,39.649809191523,1.2559133878063,0.064993370583382
24848,,20.365615170355,25.773975217379,-0.3493604619333,46.356817337225,5.5,0.01477577127641
182000,37.900585977855,17.821436572922,34.945708909893,-0.42617509932128,33.670956326246,5.5,0.083090694672416
217433,,3.8317380135975,113.72764340287,-0.017313975649173,0.0,2.594369393147,-0.35452892907611
154278,8.2749992364526,15.810612625664,17.434449417101,-0.24463093329405,24.245549415862,0.5,0.027417630651597
366309,,18.649787668616,18.962937861003,-0.49448276424472,21.815160997714,5.5,0.015215595242205
240325,8.4887743361804,16.19602673499,17.564731448148,-0.01,41.520549871991,1.7027189800431,0.07334889222612
38223,44.626142293221,21.5917366177,42.497739035984,-0.50497311258703,41.401586032866,4.946563692794,0.093218116514927
